,office_name,ceo_name,code,desc
151,민국상호저축은행,양현근, ,상호저축은행 및 기타 저축기관
152,민네트웍스,김후종, ,1차 금속제품 도매업
153,민다무역,이태화, ,속옷 및 잠옷 제조업
154,민락2지구주택개발전문위탁관리부동산투자회사,김대익, ,주거용 건물 개발 및 공급업
155,민맥정보,변태영, ,"컴퓨터 및 주변장치, 소프트웨어 소매업"
156,민메탈스코리아,손복군, ,도매 및 상품 중개업
157,민성,김민, ,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
158,민성디앤씨,황종택, ,비주거용 건물 건설업
159,민성스틸,김연숙, ,그 외 기타 1차 철강 제조업
160,민성정밀,김영세, ,금속 주조 및 기타 야금용 기계 제조업
161,민성피앤아이,최재경, ,인쇄 및 인쇄관련 산업
162,민속한우,권혁수, ,육류 가공 및 저장 처리업
163,민스타,조정현, ,주형 및 금형 제조업
164,민스텍스타일,배재민, ,"섬유, 의복, 신발 및 가죽제품 중개업"
165,민아건설,성행식, ,아파트 건설업
166,민아이티에스,김명열, ,인테리어 디자인업
167,민앤지,이현철,214180,데이터베이스 및 온라인정보 제공업
168,민앤플러스,이경민, ,경영 컨설팅업
169,민엔지니어링,전민하, ,전문직별 공사업
170,민영교육,박병욱, ,기타 교육기관
171,민영물산,함영조, ,남자용 겉옷 제조업
172,민영산업,차영규, ,자동차 및 트레일러 제조업
173,민영에셋,주민영, ,투자 자문업 및 투자 일임업
174,민예,이미선, ,전문직별 공사업
175,민윤개발,"강신준, 이정재", ,비주거용 건물 임대업
176,민은산업개발,허영호, ,"부동산 중개, 자문 및 감정평가업"
177,민음사,박맹호, ,제판 및 조판업
178,민음인,김세희, ,서적 출판업
179,민일건설,이구호, ,주거용 건물 개발 및 공급업
180,민재,장세준, ,비주거용 건물 임대업
181,민정앤컴퍼니,이상운, ,비주거용 건물 임대업
182,민주산업개발,민주식, ,주거용 건물 개발 및 공급업
183,민주산업개발,민주식, ,주거용 건물 개발 및 공급업
184,민준,정동일, ,비주거용 건물 개발 및 공급업
185,민준건설,김형준, ,기타 부동산 개발 및 공급업
186,민중,최재영, ,신선식품 및 단순 가공식품 도매업
187,민지산업개발,"송주형, 문경화", ,부동산 임대업
188,민지씨앤디,문경화, ,사무ㆍ상업용 및 공공기관용 건물 건설업
189,민진`,기근서, ,플라스틱 발포 성형제품 제조업
190,민텔,조희덕, ,유선 통신장비 제조업
191,민트씨큐리티즈리미티드,"James N, Fitter", ,기타 금융 투자업
192,민트제일차,박형섭, ,그 외 기타 분류 안된 금융업
193,민한건설,정중민, ,전문직별 공사업
194,민훈건설,서정민, ,주거용 건물 개발 및 공급업
195,믿음,설한, ,신탁업 및 집합투자업
196,믿음산업개발,서병업, ,부동산 임대 및 공급업
197,밀개,조강언, ,주거용 건물 개발 및 공급업
198,밀다원,황재복, ,곡물 가공품 제조업
199,밀라노,김용상, ,비주거용 건물 개발 및 공급업
200,밀라노인터내셔날,안화진, ,화장품 및 화장용품 도매업
201,밀라트,김종원, ,전문직별 공사업
202,밀라트,강준호, ,아파트 건설업
203,밀라트산업개발,강준호, ,아파트 건설업
204,밀레,한철호, ,기타 편조의복 액세서리 제조업
205,밀레21,유영진, ,데이터베이스 및 온라인정보 제공업
206,밀레니엄,박정호, ,비주거용 건물 임대업
207,밀레니엄드림,김현식, ,산업처리공정 제어장비 제조업
208,밀레니엄벤처투자,"박경원, 김현우", ,기타 금융 투자업
209,밀레니엄빌더,변선종, ,부동산 개발 및 공급업
210,밀레니엄산업,홍종열, ,비주거용 부동산 관리업
211,밀레니엄아이씨,김해영, ,시스템 소프트웨어 개발 및 공급업
212,밀레니엄오토유동화전문,김영배, ,그 외 기타 분류 안된 금융업
213,밀레니엄유동화전문유한회사,조용상, ,그 외 기타 분류 안된 금융업
214,밀레니엄캐피탈유동화전문유한회사,김영배, ,그 외 기타 분류 안된 금융업
215,밀레니엄파트너챌린지성장형이호증권투자회사,윤낙기, ,그 외 기타 분류 안된 금융업
216,밀레니엄파트너챌린지전환형일호증권투자회사,윤낙기, ,그 외 기타 분류 안된 금융업
217,밀레니엄파트너챌린지펀드,이성효, ,그 외 기타 분류 안된 금융업
218,밀레니엄프라자,주성길, ,비주거용 건물 임대업
219,밀레니엄홀딩스,이강택, ,경영 컨설팅업
220,밀레소프트벤처,정석주, ,시스템 소프트웨어 개발 및 공급업
221,밀레스트이엔씨,최병재, ,비주거용 건물 개발 및 공급업
222,밀레시스텍,제프리마이클우드, ,일반철물 제조업
223,밀레에델바이스홀딩스,한철호, ,봉제의복 제조업
224,밀레정보통신,정석주, ,컴퓨터 제조업
225,밀레코리아,고희경, ,가전제품 및 부품 도매업
226,밀레텍,오상배, ,방송 및 무선 통신장비 제조업
227,밀레트론,박기용, ,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
228,밀리언골프클럽,유상원, ,그 외 기타 스포츠시설 운영업
229,밀리언캐쉬대부,강영훈, ,그 외 기타 여신금융업
230,밀리오레,유종환, ,기타 부동산 임대업
231,밀리오레제일차유동화전문유한회사,김경양, ,그 외 기타 분류 안된 금융업
232,밀리온,엄기영, ,부동산 개발 및 공급업
233,밀머란에스피씨,김상우, ,경영 컨설팅업
234,밀본코리아,김재욱, ,화장품 및 화장용품 도매업
235,밀성산업가스,김의중, ,산업용 가스 제조업
236,밀알오토캠프,전승주, ,자동차용 전용 신품 부품 판매업
237,밀양관광개발,우정수, ,골프장 운영업
238,밀양컨트리클럽,임경주, ,골프장 운영업
239,밀양한천,안동욱, ,수산식물 가공 및 저장 처리업
240,밀원제일차,이지훈, ,그 외 기타 분류 안된 금융업
241,밀코오토월드,양창수, ,자동차 종합 수리업
242,밀탑,라강윤, ,비알코올 음료점업
243,밀텍,이성태, ,일반 목적용 기계 제조업
244,밀투제일차,이지훈, ,그 외 기타 분류 안된 금융업
245,밀튼인베스트먼트,박준수, ,기타 금융 투자업
246,밉스소프트웨어,박민규, ,게임 소프트웨어 개발 및 공급업
