,highPrice,lowPrice,openingPrice,tradePrice
263,2.38,2.31,2.34,2.31
264,2.4,2.38,2.38,2.4
265,2.4,2.4,2.4,2.4
266,2.48,2.38,2.4,2.41
267,2.4,2.4,2.4,2.4
268,2.42,2.39,2.39,2.42
269,2.39,2.39,2.39,2.39
270,2.39,2.38,2.38,2.39
271,2.4,2.38,2.4,2.38
272,2.4,2.39,2.4,2.4
273,2.4,2.39,2.39,2.39
274,2.42,2.39,2.42,2.39
275,2.42,2.4,2.42,2.4
276,2.43,2.38,2.43,2.38
277,2.43,2.41,2.41,2.43
278,2.43,2.37,2.37,2.43
279,2.44,2.37,2.38,2.37
280,2.43,2.38,2.38,2.39
281,2.36,2.36,2.36,2.36
282,2.38,2.35,2.36,2.38
283,2.36,2.29,2.35,2.35
284,2.34,2.33,2.33,2.34
285,2.35,2.31,2.32,2.34
286,2.34,2.31,2.31,2.34
287,2.33,2.3,2.31,2.3
288,2.35,2.26,2.33,2.35
289,2.42,2.25,2.36,2.33
290,2.48,2.28,2.3,2.48
291,2.39,2.28,2.39,2.31
292,2.44,2.4,2.44,2.4
293,2.46,2.42,2.46,2.42
294,2.46,2.44,2.44,2.46
295,2.43,2.42,2.43,2.43
296,2.45,2.43,2.45,2.43
297,2.48,2.45,2.48,2.46
298,2.5,2.48,2.49,2.48
299,2.52,2.49,2.49,2.52
300,2.47,2.47,2.47,2.47
301,2.47,2.47,2.47,2.47
302,2.47,2.47,2.47,2.47
303,2.48,2.47,2.47,2.48
304,2.48,2.47,2.48,2.47
305,2.47,2.47,2.47,2.47
306,2.5,2.48,2.5,2.49
307,2.5,2.48,2.48,2.5
308,2.5,2.49,2.49,2.5
309,2.5,2.46,2.47,2.5
310,2.47,2.47,2.47,2.47
311,2.47,2.46,2.47,2.46
312,2.47,2.46,2.47,2.46
313,2.48,2.46,2.48,2.46
314,2.5,2.47,2.47,2.5
315,2.49,2.43,2.49,2.46
316,2.51,2.45,2.51,2.47
317,2.53,2.53,2.53,2.53
318,2.53,2.51,2.53,2.51
319,2.54,2.53,2.54,2.53
320,2.54,2.52,2.54,2.52
321,2.54,2.54,2.54,2.54
322,2.54,2.54,2.54,2.54
323,2.54,2.5,2.54,2.5
324,2.58,2.56,2.56,2.58
325,2.55,2.54,2.55,2.54
326,2.55,2.54,2.55,2.54
327,2.54,2.54,2.54,2.54
328,2.56,2.47,2.56,2.54
329,2.61,2.61,2.61,2.61
330,2.62,2.53,2.62,2.53
331,2.63,2.56,2.56,2.63
332,2.55,2.53,2.55,2.53
333,2.58,2.53,2.58,2.53
334,2.6,2.58,2.6,2.58
335,2.61,2.6,2.6,2.61
336,2.6,2.57,2.57,2.6
337,2.57,2.57,2.57,2.57
338,2.61,2.6,2.6,2.61
339,2.6,2.6,2.6,2.6
340,2.61,2.59,2.59,2.61
341,2.57,2.56,2.57,2.56
342,2.59,2.59,2.59,2.59
343,2.59,2.59,2.59,2.59
344,2.61,2.61,2.61,2.61
345,2.61,2.6,2.6,2.61
346,2.6,2.59,2.59,2.6
347,2.59,2.52,2.52,2.59
348,2.51,2.51,2.51,2.51
349,2.51,2.51,2.51,2.51
350,2.48,2.48,2.48,2.48
351,2.49,2.47,2.49,2.47
352,2.5,2.5,2.5,2.5
353,2.5,2.5,2.5,2.5
354,2.51,2.51,2.51,2.51
355,2.53,2.51,2.52,2.53
356,2.5,2.5,2.5,2.5
357,2.5,2.5,2.5,2.5
358,2.52,2.51,2.52,2.51
359,2.54,2.53,2.54,2.53
360,2.57,2.54,2.57,2.54
361,2.56,2.56,2.56,2.56
362,2.57,2.57,2.57,2.57
363,2.57,2.51,2.54,2.55
364,2.55,2.55,2.55,2.55
365,2.54,2.52,2.53,2.54
366,2.54,2.54,2.54,2.54
367,2.54,2.51,2.51,2.54
368,2.51,2.51,2.51,2.51
369,2.51,2.51,2.51,2.51
370,2.54,2.51,2.54,2.51
371,2.55,2.53,2.54,2.55
372,2.56,2.52,2.52,2.54
373,2.53,2.51,2.52,2.52
374,2.51,2.5,2.5,2.51
375,2.51,2.51,2.51,2.51
376,2.5,2.49,2.49,2.5
377,2.49,2.46,2.46,2.49
378,2.47,2.45,2.46,2.47
379,2.47,2.46,2.47,2.46
380,2.47,2.46,2.46,2.47
381,2.46,2.46,2.46,2.46
382,2.45,2.45,2.45,2.45
383,2.45,2.44,2.44,2.45
384,2.45,2.45,2.45,2.45
385,2.45,2.45,2.45,2.45
386,2.45,2.44,2.45,2.44
387,2.45,2.45,2.45,2.45
388,2.45,2.45,2.45,2.45
389,2.45,2.45,2.45,2.45
390,2.44,2.43,2.43,2.44
391,2.45,2.42,2.45,2.42
392,2.46,2.42,2.42,2.46
393,2.43,2.4,2.43,2.41
394,2.46,2.43,2.46,2.43
395,2.47,2.47,2.47,2.47
396,2.48,2.47,2.48,2.47
397,2.48,2.48,2.48,2.48
398,2.48,2.48,2.48,2.48
399,2.48,2.47,2.47,2.48
